Source, Target, Weights
loud_thurzin,Gaules,600
loud_thurzin,loud_babi,731
loud_thurzin,loud_bak,8632
loud_thurzin,PeuzadaTV,658
loud_thurzin,NOBRU,1244
Destiny,summit1g,563
Destiny,Mizkif,1313
Destiny,melina,633
Destiny,xQcOW,2509
Destiny,MOONMOON,623
Destiny,shroud,682
Destiny,loltyler1,641
Destiny,Nmplol,988
Destiny,Jinnytty,510
Destiny,LIRIK,565
Destiny,Trainwreckstv,1457
Destiny,Maya,536
Destiny,HasanAbi,1165
Destiny,ludwig,1116
Destiny,sodapoppin,1235
Destiny,MitchJones,799
Destiny,pokelawls,533
Beaulo,xQcOW,526
Criken,Tomato,1136
Xposed,DeuceAce,621
Xposed,ROSHTEIN,1090
yamatonjp,SPYGEA,1099
yamatonjp,fps_shaka,2176
tinowns,jean_mago,1569
tinowns,Mylonzete,631
tinowns,aXtLOL,804
tinowns,Baiano,1742
tinowns,alanzoka,799
stevewillsendit,nelkboys,1091
casimito,Gaules,1029
casimito,gafallen,769
casimito,adolfz,555
casimito,fnxLNTC,639
casimito,deercheerup,1265
casimito,alanzoka,572
ChilledChaos,SteveSuptic,597
ChilledChaos,Sykkuno,609
chocoTaco,summit1g,516
chocoTaco,shroud,811
summit1g,Destiny,563
summit1g,chocoTaco,516
summit1g,Ramee,1371
summit1g,zackrawrr,824
summit1g,dunkstream,514
summit1g,RatedEpicz,1548
summit1g,Mizkif,2411
summit1g,EsfandTV,787
summit1g,xQcOW,5817
summit1g,Ninja,2033
summit1g,MOONMOON,1322
summit1g,DrLupo,5169
summit1g,nl_Kripp,561
summit1g,shroud,7199
summit1g,loltyler1,2318
summit1g,Zombie_Barricades,663
summit1g,dasMEHDI,829
summit1g,SypherPK,551
summit1g,Amouranth,539
summit1g,Nadeshot,622
summit1g,LVNDMARK,4599
summit1g,Deadlyslob,844
summit1g,g2perkz,512
summit1g,Rekkles,573
summit1g,pokimane,1008
summit1g,Nmplol,1875
summit1g,itsHafu,540
summit1g,Symfuhny,822
summit1g,Jinnytty,725
summit1g,Greekgodx,1040
summit1g,Syndicate,505
summit1g,NICKMERCS,3133
summit1g,CDNThe3rd,577
summit1g,CohhCarnage,1641
summit1g,moistcr1tikal,534
summit1g,LIRIK,6957
summit1g,Shotz,1210
summit1g,Tfue,815
summit1g,Sykkuno,709
summit1g,Trainwreckstv,2312
summit1g,NiteNightKid,1718
summit1g,Castro_1021,715
summit1g,Maya,804
summit1g,AdmiralBahroo,984
summit1g,TimTheTatman,3708
summit1g,HasanAbi,1477
summit1g,Smoke,1024
summit1g,Quin69,1151
summit1g,ludwig,2076
summit1g,sodapoppin,4326
summit1g,MitchJones,1525
summit1g,Maximilian_DOOD,584
summit1g,Sacriel,694
summit1g,scump,633
summit1g,ROSHTEIN,527
summit1g,pokelawls,1009
summit1g,GMHikaru,768
UberHaxorNova,Ramee,1255
UberHaxorNova,RatedEpicz,1394
UberHaxorNova,PENTA,819
UberHaxorNova,Zombie_Barricades,726
UberHaxorNova,dasMEHDI,1491
UberHaxorNova,Shotz,599
elded,Jelty,663
elded,natalan,1630
elded,auronplay,1725
elded,ibai,1578
elded,GradyWhite_,1074
elded,TheGrefg,1684
elded,RobertoCein,2442
elded,Rubius,5582
Ramee,summit1g,1371
Ramee,UberHaxorNova,1255
Ramee,RatedEpicz,6561
Ramee,Mizkif,915
Ramee,xQcOW,590
Ramee,PENTA,898
Ramee,Zombie_Barricades,3452
Ramee,dasMEHDI,3470
Ramee,Kyle,564
Ramee,Shotz,4701
Ramee,ludwig,1075
Pikabooirl,zackrawrr,746
Pikabooirl,xQcOW,501
Pikabooirl,shroud,789
Pikabooirl,cdewx,903
Pikabooirl,limit_maximum,501
Pikabooirl,Quin69,692
Pikabooirl,sodapoppin,1550
Pikabooirl,MitchJones,1837
Chica,xQcOW,1158
Chica,Ninja,595
Chica,Clix,580
Chica,SypherPK,692
Chica,NICKMERCS,603
Chica,Loeya,521
zackrawrr,summit1g,824
zackrawrr,Pikabooirl,746
zackrawrr,Mizkif,2143
zackrawrr,EsfandTV,1573
zackrawrr,xQcOW,2022
zackrawrr,MOONMOON,580
zackrawrr,shroud,2619
zackrawrr,loltyler1,723
zackrawrr,notmes,509
zackrawrr,Nmplol,1442
