ID,Label,Count
eaJParkOfficial,eaJParkOfficial,21957
lol_ambition,lol_ambition,32349
Hayashii,Hayashii,11707
raderaderader,raderaderader,23792
DylanteroLIVE,DylanteroLIVE,13051
Vicens,Vicens,85118
dasoku_aniki,dasoku_aniki,17617
bateson87,bateson87,36100
GN_GG,GN_GG,10842
Alliege,Alliege,31301
LuluLuvely,LuluLuvely,68542
imjasmine,imjasmine,5574
maxim,maxim,23180
Insomniac,Insomniac,9676
RanbooLive,RanbooLive,414357
jdm2088,jdm2088,35013
scugg3324,scugg3324,50
IzakOOO,IzakOOO,16149
fps_shaka,fps_shaka,117246
QUICKHUNTIK,QUICKHUNTIK,12223
NOBRU,NOBRU,100206
TrymacsKaktusKoenig,TrymacsKaktusKoenig,4786
AriaSaki,AriaSaki,41538
Harmii,Harmii,8283
jakenbakeLIVE,jakenbakeLIVE,4466
hanryang1125,hanryang1125,82968
LCK_Korea,LCK_Korea,213420
SmallAnt,SmallAnt,48505
Tomato,Tomato,13683
RybsonLoL_,RybsonLoL_,22408
Myth,Myth,105281
PietSmiet,PietSmiet,60887
x6FlipiN,x6FlipiN,43484
AhriNyan,AhriNyan,20302
jukes,jukes,52579
PurpleBixi,PurpleBixi,37583
nanayango3o,nanayango3o,16934
BigEx,BigEx,23505
agurin,agurin,25556
akaNemsko,akaNemsko,5730
Faker,Faker,109460
Jerma985,Jerma985,44305
ESL_DOTA2,ESL_DOTA2,63145
EmadGG,EmadGG,115263
Mangel,Mangel,19213
dda_ju,dda_ju,4878
XBOCT,XBOCT,40700
polsatgames,polsatgames,31223
JackManifoldTV,JackManifoldTV,106831
olyashaa,olyashaa,4773
Socksfor1,Socksfor1,14983
Bidule,Bidule,33709
DarioMocciaTwitch,DarioMocciaTwitch,37870
julien,julien,6571
pizfn,pizfn,22954
buster,buster,176581
kimdoe,kimdoe,35544
Ash_on_LoL,Ash_on_LoL,247321
StableRonaldo_,StableRonaldo_,167952
Fundy,Fundy,107572
limit_maximum,limit_maximum,23016
HITBOXKING,HITBOXKING,11397
AussieAntics,AussieAntics,28951
AnthonyZ,AnthonyZ,43563
01bd02,01bd02,28372
Baiano,Baiano,72295
obm1025,obm1025,19064
mistermv,mistermv,72249
sooflower,sooflower,8776
auronplay,auronplay,487777
shuteye_orange,shuteye_orange,14946
tinowns,tinowns,10425
willneff,willneff,26041
BlitzStream,BlitzStream,28228
modestal,modestal,39358
RRaenee,RRaenee,25873
NAKOO_Fn,NAKOO_Fn,31237
Ahmed_show,Ahmed_show,10719
BurkeBlack,BurkeBlack,15865
Move_Mind,Move_Mind,20135
loud_babi,loud_babi,72085
Bronx,Bronx,8134
rkdthdus930,rkdthdus930,5208
Thijs,Thijs,51999
Elajjaz,Elajjaz,38789
loud_coringa,loud_coringa,255743
PG_Esports,PG_Esports,10472
HealthyGamer_GG,HealthyGamer_GG,40568
TheStockGuy,TheStockGuy,99435
AresHD,AresHD,7660
kianlawley,kianlawley,6430
RDCgaming,RDCgaming,11040
CallMeKevin,CallMeKevin,20935
Bugha,Bugha,196432
Eray,Eray,19871
Brunenger,Brunenger,53238
DavyJones,DavyJones,9520
runner0608,runner0608,19495
Destroy,Destroy,13055
aceu,aceu,109254
sapnapalt,sapnapalt,68038
BLASTPremier,BLASTPremier,346349
just_ns,just_ns,37546
Aydan,Aydan,162014
eldemente,eldemente,24159
LynxCerezLoL,LynxCerezLoL,7481
repazmois,repazmois,38763
iLame,iLame,5516
kkatamina,kkatamina,48648
Zeeyadx,Zeeyadx,13085
GRONKH,GRONKH,79190
zrush,zrush,25828
Ninja,Ninja,261235
dota2mc_ru,dota2mc_ru,230581
LCS,LCS,243203
MYM_ALKAPONE,MYM_ALKAPONE,47349
DuendePablo,DuendePablo,36151
