Source,Target,Weight
blxckoutz,maiconkusterkay,1432
blxckoutz,Gaules,10199
blxckoutz,k1ng,11849
blxckoutz,Letshe,1496
blxckoutz,pijack11,584
blxckoutz,fer,1729
blxckoutz,benjyfishy,3564
blxckoutz,calango,850
blxckoutz,casimito,1753
blxckoutz,SNEUX,589
blxckoutz,StableRonaldo_,2502
blxckoutz,boltz,1061
blxckoutz,noahreyli,1275
blxckoutz,loud_babi,1172
blxckoutz,Tiagovski555YT,804
blxckoutz,shroud,654
blxckoutz,ops1x,898
blxckoutz,NOBRU,2250
blxckoutz,FlowPodcast,4897
blxckoutz,alanzoka,7380
blxckoutz,RocketLeague,1436
blxckoutz,x2Twins,1333
blxckoutz,jukes,1402
blxckoutz,bt0tv,1015
blxckoutz,loud_bak,4471
blxckoutz,EmadGG,2071
blxckoutz,TenZ,725
blxckoutz,adolfz,1730
blxckoutz,ZeROBADASS,1311
blxckoutz,RiotGamesBrazil,1493
blxckoutz,DavyJones,605
blxckoutz,Rakin,582
blxckoutz,YoDa,2861
blxckoutz,jean_mago,1668
blxckoutz,VALORANT_BR,2135
blxckoutz,Marzz_Ow,552
blxckoutz,Baiano,811
blxckoutz,MmarianaAlpha,1330
blxckoutz,Castro_1021,525
blxckoutz,gafallen,1454
blxckoutz,Fresh,603
blxckoutz,loud_coringa,6829
blxckoutz,TheLivia,1113
blxckoutz,Bugha,5149
blxckoutz,Ninja,1040
blxckoutz,Tfue,1580
blxckoutz,Cellbit,1663
blxckoutz,Clix,5969
blxckoutz,deercheerup,2649
blxckoutz,liminhag0d,1297
blxckoutz,pulgaboy,17232
blxckoutz,Mongraal,4540
blxckoutz,ESL_CSGO,851
blxckoutz,scoped,804
blxckoutz,Tixinhadois,1482
blxckoutz,Jelty,694
blxckoutz,loud_thurzin,1755
blxckoutz,TheGrefg,1197
blxckoutz,mch_AGG,1298
blxckoutz,Renata_Giovanna,1122
blxckoutz,NickEh30,784
blxckoutz,Fortnite,3364
blxckoutz,thecaiox,6648
blxckoutz,gaulestv,785
blxckoutz,vsmzin,550
blxckoutz,Lagonis,910
blxckoutz,Brasil_Fortnite,4421
blxckoutz,seeyunxd,611
blxckoutz,Meikodboy_,560
blxckoutz,MrSavage,874
blxckoutz,jovirone,516
blxckoutz,ovotz,613
blxckoutz,CBLOL,752
blxckoutz,hastad,580
xHankyy,Letshe,525
xHankyy,maxim,520
xHankyy,JulienBam,573
xHankyy,unsympathisch_tv,2593
xHankyy,Mois_Kid,1044
xHankyy,TheRealKnossi,1831
xHankyy,shroud,609
xHankyy,MontanaBlack88,8499
xHankyy,repazmois,3845
xHankyy,NoWay4u_Sir,537
xHankyy,KayzahR,1135
xHankyy,Trymacs,11130
xHankyy,Rumathra,1327
xHankyy,Papaplatte,5077
xHankyy,Dhalucard,1045
xHankyy,GRONKH,896
xHankyy,rewinside,1894
xHankyy,ELoTRiX,3773
xHankyy,eliasn97,1339
xHankyy,MckyTV,6768
xHankyy,NICKMERCS,745
xHankyy,SidneyEweka,849
xHankyy,Tfue,627
xHankyy,Ditrxx,514
xHankyy,Amar,3346
xHankyy,xQcOW,565
xHankyy,ROSHTEIN,530
xHankyy,xTheSolutionTV,1952
xHankyy,STYLERZ,771
xHankyy,INSCOPE21TV,1816
xHankyy,RevedTV,1579
xHankyy,chefstrobel,1011
jccaylen,NotRyanAbe,5410
jccaylen,fuslie,577
jccaylen,QuackityHQ,1112
jccaylen,GeorgeNotFound,1049
jccaylen,RanbooLive,757
jccaylen,ludwig,744
jccaylen,westonkoury,670
jccaylen,BadBoyHalo,695
jccaylen,Sykkuno,1821
jccaylen,Tubbo,782
jccaylen,tommyinnit,792
jccaylen,DavidDobrik,533
jccaylen,Sapnap,960
jccaylen,karljacobs,1364
jccaylen,pokimane,714
jccaylen,kianlawley,11396
jccaylen,capturesca,5237
jccaylen,itscrawfordcollins,5460
jccaylen,dreamwastaken,655
jccaylen,brianteradababy,1797
jccaylen,reggiewebberr,1841
AdmiralBulldog,just_ns,1088
AdmiralBulldog,Maximilian_DOOD,1633
AdmiralBulldog,Elajjaz,1637
AdmiralBulldog,Sjow,628
AdmiralBulldog,cdewx,675
AdmiralBulldog,Natsumiii,636
AdmiralBulldog,Gaules,971
AdmiralBulldog,Steelmage,1133
AdmiralBulldog,sodapoppin,8320
AdmiralBulldog,CohhCarnage,4168
AdmiralBulldog,dasMEHDI,1072
AdmiralBulldog,NymN,3707
AdmiralBulldog,moistcr1tikal,1720
AdmiralBulldog,AnthonyZ,1367
AdmiralBulldog,HusKerrs,633
AdmiralBulldog,LCS,1268
AdmiralBulldog,Quin69,3987
AdmiralBulldog,imls,531
AdmiralBulldog,Arcadum,661
AdmiralBulldog,Distortion2,590
AdmiralBulldog,Nmplol,2870
AdmiralBulldog,loltyler1,3330
AdmiralBulldog,nerdstgamers,557
