Source,Target,Weight
hJune,HBomb94,537
hJune,Clix,869
hJune,Mizkif,5140
hJune,Amouranth,8015
hJune,Fundy,847
hJune,Taylor_Jevaux,697
hJune,AverageJonas,1158
hJune,ludwig,8306
hJune,CDawgVA,612
hJune,Kurumx,618
hJune,CohhCarnage,1549
hJune,LIRIK,2802
hJune,yvonnie,14393
hJune,PotasticP,589
hJune,Gorgc,712
hJune,Sanchovies,971
hJune,chocoTaco,895
hJune,Subroza,1269
hJune,VALORANT,2292
hJune,nl_Kripp,765
hJune,TinaKitten,3827
hJune,PENTA,1883
hJune,moistcr1tikal,3087
hJune,Harry,557
hJune,bananabrea,1284
hJune,Tfue,1819
hJune,AnthonyZ,3217
hJune,BadBoyHalo,968
hJune,a_babybay,637
hJune,Yuggie_TV,515
hJune,willneff,907
hJune,Sykkuno,17742
hJune,Nightblue3,678
hJune,GMHikaru,1054
hJune,Pestily,1876
hJune,awesamdude,517
hJune,Xposed,627
hJune,Trainwreckstv,4982
hJune,BrookeAB,2394
hJune,Maya,1019
hJune,SayeedBlack,659
hJune,Voyboy,608
hJune,GloriaMatvien,530
hJune,JoshOG,519
hJune,loltyler1,4252
hJune,JustaMinx,864
hJune,imaqtpie,779
hJune,imls,857
hJune,zackrawrr,623
hJune,LuluLuvely,1471
hJune,ethos,1418
hJune,ConnorEatsPants,809
hJune,Aniemal,692
hJune,jacksepticeye,2361
hJune,Nmplol,1928
hJune,PyrooTv,600
hJune,emilyywang,834
hJune,Atrioc,740
hJune,BotezLive,1637
hJune,Greekgodx,2264
hJune,Acie,515
hJune,Hotted89,1015
hJune,kyedae_,6169
hJune,UberHaxorNova,603
hJune,RATIRL,1009
hJune,ricoy23,1491
hJune,adeptthebest,2211
hJune,k3soju,1787
hJune,Bugha,501
hJune,HusKerrs,666
hJune,fl0m,640
hJune,CoconutB,5208
hJune,IsVolcano,1909
hJune,NiceWigg,607
hJune,Indiefoxx,2228
hJune,Quin69,977
hJune,sleepy,3477
hJune,AdmiralBahroo,692
hJune,Enviosity,697
hJune,Keeoh,1099
hJune,fuslie,47849
hJune,TSM_ImperialHal,1899
hJune,VonDice,750
hJune,kyliebitkin,1178
hJune,bebe872,538
hJune,Jahrein,582
hJune,CodeMiko,3356
hJune,ShivFPS,1377
hJune,bnans,4083
hJune,QTCinderella,2024
hJune,TimTheTatman,2602
hJune,Lysium,3033
hJune,Rogue,1080
hJune,HutchMF,770
hJune,keanelol,660
hJune,Alinity,546
hJune,aceu,5496
hJune,karlnetwork,2722
hJune,DreamLeague,1164
hJune,AZRA,530
hJune,Shiphtur,37242
hJune,DashDucks,1560
hJune,AriaSaki,10350
hJune,WillerZ,640
hJune,Faith,982
hJune,AdinRoss,3375
hJune,Nokokopuffs,530
hJune,Jinnytty,1379
hJune,bratiki94,4821
hJune,Fextralife,963
hJune,riotgames,4971
hJune,Ray__C,7506
hJune,AquaFPS,529
hJune,NoraExplorer,1533
hJune,supertf,620
hJune,DrLupo,1865
hJune,Kitboga,583
hJune,Doublelift,1453
hJune,SwaggerSouls,636
hJune,dafran,810
hJune,Picco,1880
hJune,Sequisha,2132
hJune,souless,655
hJune,Rubius,660
hJune,Ssaab,1473
hJune,Ash_on_LoL,4226
hJune,WARDELL,3145
hJune,dakotaz,2022
hJune,TapL,630
hJune,shroud,12862
hJune,Anthony_Kongphan,692
hJune,39daph,7396
hJune,TFBlade,697
hJune,buddha,5160
hJune,RocketLeague,2077
hJune,Posty,11000
hJune,xChocoBars,6646
hJune,dogdog,776
hJune,Tubbo,929
hJune,boxbox,7426
hJune,pokimane,16718
hJune,forsen,905
hJune,Swagg,904
hJune,LVNDMARK,2331
hJune,Punz,1278
hJune,Blaustoise,3822
hJune,DisbeArex,2133
hJune,tommyinnit,1248
hJune,DumbDog,899
hJune,AbdulHD,985
hJune,JerAxai,547
hJune,Sacriel,579
hJune,Whippy,3910
hJune,karljacobs,627
hJune,etoleto,633
hJune,LAGTVMaximusBlack,759
hJune,curvyelephant,782
hJune,peterparkTV,46798
hJune,CaptainPuffy,1061
hJune,Five0AnthO,1263
hJune,kkatamina,10098
hJune,Kiyoon,1181
hJune,BobRoss,539
hJune,TubboLIVE,1700
hJune,daltoosh,560
hJune,Foolish__Gamers,1015
hJune,tarzaned,669
hJune,12robg,802
hJune,sneakylol,1800
hJune,Tectone,598
hJune,ashlynn,1332
hJune,Symfuhny,2015
hJune,Arcadum,1187
hJune,sapnapalt,606
hJune,Maximilian_DOOD,751
hJune,Snip3down,502
hJune,Asmongold,2508
hJune,Hiko,3020
hJune,dwjft,612
hJune,melina,888
hJune,Grimmmz,935
hJune,lilypichu,14582
hJune,Gladd,865
hJune,TheNicoleT,693
hJune,ploo,1604
hJune,Timmac,1751
hJune,BTMC,567
hJune,GeorgeNotFound,933
hJune,Wolfabelle,826
hJune,SmallAnt,619
hJune,Philza,1087
hJune,jakenbakeLIVE,1302
hJune,Pace22,649
hJune,auronplay,630
hJune,AnneMunition,911
hJune,Simply,606
hJune,Biotoxz_,1535
hJune,Ramee,13975
hJune,KristoferYee,11276
hJune,Crystalst,3334
hJune,GTAWiseGuy,772
hJune,Rainbow6,2674
hJune,Burn,2216
hJune,uhSnow,631
hJune,Natsumiii,30972
hJune,Kyle,2022
hJune,BeyondTheSummit,606
hJune,Sapnap,726
hJune,Silent,1174
hJune,diceyzx,660
hJune,dreamwastaken,670
hJune,koil,934
hJune,m0xyy,565
hJune,Mendo,1145
hJune,Quackity,845
hJune,robcdee,581
hJune,ThisIsNotGeorgeNotFound,872
hJune,dasMEHDI,1329
hJune,ibai,992
hJune,Scarra,18462
hJune,Sydeon,4700
hJune,lol_nemesis,798
hJune,DisguisedToast,8436
hJune,HAchubby,1004
hJune,Spaceboy,946
hJune,iiTzTimmy,5473
hJune,JASONR,734
hJune,nerdstgamers,1144
hJune,Kiwo,737
hJune,Shotz,2493
hJune,Sweet_Anita,695
hJune,sodapoppin,3799
hJune,Aydan,854
hJune,QuarterJade,10990
hJune,Ninja,1563
hJune,s0mcs,1186
hJune,Albralelie,694
hJune,RatedEpicz,10212
hJune,MsTeamKK,894
hJune,AdmiralBulldog,577
hJune,WilburSoot,767
hJune,ROSHTEIN,1771
hJune,Zizaran,872
hJune,Becca,980
hJune,NICKMERCS,1970
hJune,DizzyKitten,563
hJune,Myth,4410
hJune,Jankos,928
hJune,Smoke,861
hJune,TwitchRivals,1285
hJune,MOONMOON,2106
hJune,itsHafu,5796
hJune,Mathil1,554
hJune,5uppp,4590
hJune,Ziggy,1282
hJune,Masayoshi,54693
hJune,Destiny,588
hJune,hannahxxrose,1004
hJune,Macaiyla,627
hJune,ironmouse,674
hJune,ShahZaM,2866
hJune,Thijs,545
hJune,EsfandTV,3642
hJune,MEKABEAR,944
hJune,Dyrus,751
hJune,CaptainSparklez,536
hJune,akaNemsko,625
hJune,Jonthebroski,698
hJune,Gaules,649
hJune,Hirona,922
hJune,Rekkles,652
hJune,Sneegsnag,776
hJune,Ashi,517
hJune,Klean,724
hJune,xQcOW,13903
hJune,RanbooLive,1578
hJune,summit1g,12604
hJune,Faker,906
hJune,HasanAbi,3076
hJune,Juggs,536
hJune,Yassuo,1792
hJune,RiceGum,726
hJune,Agustabell212,1025
hJune,SteveSuptic,2795
hJune,Jerma985,507
hJune,midbeast,1256
hJune,roflgator,957
hJune,saintvicious,603
hJune,pokelawls,2118
hJune,cloakzy,964
hJune,cyr,3341
hJune,ESL_CSGO,2236
hJune,sweetdreams,812
hJune,AsunaWEEB,1087
hJune,itsRyanHiga,11126
hJune,TenZ,4107
Tylerootd,matsuri_hs,529
Tylerootd,Mizkif,656
Tylerootd,Amouranth,1238
Tylerootd,ludwig,553
Tylerootd,CohhCarnage,1057
Tylerootd,LIRIK,1264
Tylerootd,Gorgc,771
Tylerootd,nl_Kripp,7590
Tylerootd,dota2mc_ru,791
Tylerootd,purple_hs,6179
Tylerootd,NoHandsGamer,1648
