Source,Target,Weight
eaJParkOfficial,AriaSaki,1349
eaJParkOfficial,Myth,527
eaJParkOfficial,Ash_on_LoL,2617
eaJParkOfficial,aceu,730
eaJParkOfficial,kkatamina,1552
eaJParkOfficial,Dyannatv,915
eaJParkOfficial,Mammoth,797
eaJParkOfficial,codemiko,680
eaJParkOfficial,buddha,780
eaJParkOfficial,sodapoppin,534
eaJParkOfficial,Sequisha,551
eaJParkOfficial,KristoferYee,1199
eaJParkOfficial,bchillz,832
eaJParkOfficial,yvonnie,672
eaJParkOfficial,itsHafu,2709
eaJParkOfficial,Natsumiii,2195
eaJParkOfficial,dogdog,705
eaJParkOfficial,xChocoBars,1119
eaJParkOfficial,pokimane,1593
eaJParkOfficial,itsRyanHiga,893
eaJParkOfficial,QuarterJade,1301
eaJParkOfficial,boxbox,2899
eaJParkOfficial,starsmitten,865
eaJParkOfficial,TinaKitten,1270
eaJParkOfficial,Scarra,1386
eaJParkOfficial,fuslie,1754
eaJParkOfficial,ludwig,1173
eaJParkOfficial,Welyn,618
eaJParkOfficial,Ray__C,2850
eaJParkOfficial,Maya,689
eaJParkOfficial,SerWinterOfficial,819
eaJParkOfficial,5uppp,1229
eaJParkOfficial,peterparkTV,2204
eaJParkOfficial,trausi,1141
eaJParkOfficial,39daph,1371
eaJParkOfficial,SteveSuptic,702
eaJParkOfficial,karljacobs,532
eaJParkOfficial,hJune,3095
eaJParkOfficial,xQcOW,873
eaJParkOfficial,Sykkuno,3742
eaJParkOfficial,shroud,1221
eaJParkOfficial,lilypichu,1908
eaJParkOfficial,Hutnik,907
eaJParkOfficial,Masayoshi,1216
eaJParkOfficial,tuanzy,2589
eaJParkOfficial,Posty,792
eaJParkOfficial,CoconutB,837
eaJParkOfficial,Lifestomper,634
eaJParkOfficial,DuckyW,551
lol_ambition,jdm2088,581
lol_ambition,hanryang1125,4720
lol_ambition,LCK_Korea,13185
lol_ambition,nanayango3o,802
lol_ambition,Faker,3283
lol_ambition,kimdoe,2711
lol_ambition,01bd02,1724
lol_ambition,obm1025,867
lol_ambition,rkdthdus930,502
lol_ambition,runner0608,1785
lol_ambition,LCS,794
lol_ambition,LCK,1243
lol_ambition,rooftopcat99,2130
lol_ambition,109ace,1571
lol_ambition,jungtaejune,1479
lol_ambition,PUBGKorea,1204
lol_ambition,saddummy,5909
lol_ambition,t1_teddy,592
lol_ambition,Jankos,653
lol_ambition,handongsuk,8048
lol_ambition,woowakgood,1334
lol_ambition,portialyn,1977
lol_ambition,hejin0_0,523
lol_ambition,pjs9073,780
lol_ambition,bbonge_,631
lol_ambition,looksam,709
lol_ambition,sneakylol,578
lol_ambition,LEC,975
lol_ambition,aba4647,3164
lol_ambition,Doublelift,670
lol_ambition,sal_gu,2332
lol_ambition,zilioner,4383
lol_ambition,ddahyoni,3200
lol_ambition,pacific8815,3430
lol_ambition,sonycast_,1270
lol_ambition,2chamcham2,1733
lol_ambition,TFBlade,555
lol_ambition,paka9999,3603
lol_ambition,yapyap30,2111
lol_ambition,loltyler1,1035
lol_ambition,flurry1989,2720
lol_ambition,ajehr,720
lol_ambition,xkwhd,764
lol_ambition,nanajam777,511
lol_ambition,lol_woolf,6588
lol_ambition,dopa24,3832
lol_ambition,tmxk319,6379
lol_ambition,lol_cuvee,2426
lol_ambition,pikra10,1540
lol_ambition,nokduro,2535
lol_ambition,a60426042,1648
lol_ambition,jinu6734,562
lol_ambition,naseongkim,859
lol_ambition,yumyumyu77,2138
lol_ambition,LPL,584
lol_ambition,pparkshy,1441
lol_ambition,TwitchKR,1698
lol_ambition,torona1,582
lol_ambition,lck_challengers,858
lol_ambition,sn400ja,1242
lol_ambition,so_urf,989
lol_ambition,swab85,687
Hayashii,FlowPodcast,877
Hayashii,Gaules,2510
Hayashii,ziGueira,906
Hayashii,YoDa,1336
Hayashii,casimito,962
Hayashii,RiotGamesBrazil,822
Hayashii,alanzoka,2455
Hayashii,deercheerup,593
Hayashii,jean_mago,512
Hayashii,adolfz,785
Hayashii,Cellbit,773
raderaderader,fps_shaka,994
raderaderader,gutitubo,4927
raderaderader,stylishnoob4,874
raderaderader,kato_junichi0817,639
DylanteroLIVE,auronplay,1836
DylanteroLIVE,Caprimint,1972
DylanteroLIVE,juansguarnizo,2857
DylanteroLIVE,elded,1761
DylanteroLIVE,BarcaGamer,549
DylanteroLIVE,ibai,1912
DylanteroLIVE,PUVLOO,2047
DylanteroLIVE,ElSpreen,549
DylanteroLIVE,TheGrefg,774
DylanteroLIVE,Alexby11,658
DylanteroLIVE,FarfadoxVEVO,543
DylanteroLIVE,Rubius,3549
DylanteroLIVE,RobertoCein,547
DylanteroLIVE,Mayichi,760
DylanteroLIVE,MissaSinfonia,570
Vicens,Alliege,4714
Vicens,EmadGG,1222
Vicens,StableRonaldo_,1347
Vicens,auronplay,8622
Vicens,NAKOO_Fn,6046
Vicens,Bugha,5771
Vicens,Brunenger,894
Vicens,Ninja,1024
Vicens,Mongraal,4486
Vicens,Staryuuki,1116
Vicens,PapoMC,1791
Vicens,zEkO,1168
Vicens,k1ng,10330
Vicens,FolagorLives,1786
Vicens,juansguarnizo,5911
Vicens,Werlyb,511
Vicens,elded,1740
Vicens,LaIslaDeLasTentaciones,647
Vicens,IlloJuan,742
Vicens,NickEh30,737
Vicens,pgod,5989
Vicens,bysTaXx,706
Vicens,GUANYAR,2513
Vicens,Perxitaa,1062
Vicens,Clix,3323
Vicens,BarcaGamer,540
Vicens,sujagg,6859
Vicens,JaggerPrincesa,688
Vicens,MarkiLokurasY,7330
Vicens,Jelty,21629
Vicens,Loserfruit,1186
Vicens,ibai,13162
Vicens,gllobet25,1383
Vicens,blanchitooo,10369
Vicens,coscu,660
Vicens,ElSpreen,630
Vicens,ops1x,593
Vicens,okyyy,756
Vicens,thedanirep,1365
Vicens,scoped,635
Vicens,MenosTrece,510
Vicens,Pimpeano,1040
Vicens,x2Twins,756
Vicens,Letshe,1934
Vicens,chigre,579
Vicens,TheGrefg,46617
Vicens,Alexby11,1600
Vicens,aroyitt,1149
Vicens,IamCristinini,1270
Vicens,Tfue,1251
Vicens,Rubius,8643
Vicens,Llobeti4,12987
Vicens,Milan926_,6835
Vicens,Wismichu,511
Vicens,Mayichi,1563
Vicens,biyin_,1012
Vicens,elxokas,746
Vicens,D3stri,796
Vicens,mitr0,595
Vicens,SLAKUN10,748
Vicens,ElcanaldeJoaco,888
Vicens,AkumaGirrl,647
Vicens,EnriqueRamosGamer,4254
Vicens,Rustyk,505
Vicens,Fortnite,1920
Vicens,PapiGaviTV,886
Vicens,MissaSinfonia,858
Vicens,MrSavage,1537
Vicens,Peereira7,6834
Vicens,santidead,559
Vicens,Serenexo,2251
Vicens,benjyfishy,2016
Vicens,SNEUX,1297
dasoku_aniki,fps_shaka,11640
dasoku_aniki,SPYGEA,3753
dasoku_aniki,TSM_ImperialHal,1570
dasoku_aniki,oniyadayo,4058
dasoku_aniki,stylishnoob4,7784
dasoku_aniki,kato_junichi0817,14797
dasoku_aniki,ShivFPS,1255
