ID,Label,Count
hJune,hJune,104165
Tylerootd,Tylerootd,24059
nilojeda,nilojeda,58694
elFedeVigevani,elFedeVigevani,4545
HBomb94,HBomb94,34203
Mangel,Mangel,25962
pijack11,pijack11,94015
matsuri_hs,matsuri_hs,5027
NAKOO_Fn,NAKOO_Fn,57889
Cydonia_Chiara,Cydonia_Chiara,12094
just_ns,just_ns,52080
Threedogg,Threedogg,5573
DarkViperAU,DarkViperAU,44624
Zentreya,Zentreya,37566
SoyPan,SoyPan,28038
Couriway,Couriway,17679
Conterstine,Conterstine,25354
Clix,Clix,317092
GoBGG,GoBGG,21463
SanderJoga,SanderJoga,23619
VALORANT_BR,VALORANT_BR,60792
VaporaDark,VaporaDark,6244
FarhadXRay,FarhadXRay,26995
RelaxBeats,RelaxBeats,13546
LumeiFei,LumeiFei,9636
natalan,natalan,51866
AyarBaffo,AyarBaffo,34107
Zhmil,Zhmil,0
Mizkif,Mizkif,305181
HITPOINTCZ,HITPOINTCZ,3960
JannisZ,JannisZ,42423
GeT_RiGhT,GeT_RiGhT,28565
Cedduzzo,Cedduzzo,11873
Gemita,Gemita,49414
yd0821,yd0821,15809
BarcaGamer,BarcaGamer,81140
Amouranth,Amouranth,902051
OgamingLoL,OgamingLoL,79745
datboicellii,datboicellii,168
rodsquare,rodsquare,30720
noahreyli,noahreyli,50358
Fundy,Fundy,145406
LCK_Korea,LCK_Korea,365458
Taylor_Jevaux,Taylor_Jevaux,121824
LPL,LPL,385
AverageJonas,AverageJonas,75414
IzakOOO,IzakOOO,126178
nerdstgamers2,nerdstgamers2,134
PPGL_VCTPH,PPGL_VCTPH,6803
DeuceAce,DeuceAce,52669
POGREBOK_TV,POGREBOK_TV,7834
keiozin,keiozin,32017
aimdll__,aimdll__,101842
Mylonzete,Mylonzete,23223
SLOTAKIAS,SLOTAKIAS,5562
LightFuryLF,LightFuryLF,27265
EFEUYGAC,EFEUYGAC,45235
ludwig,ludwig,366877
CDawgVA,CDawgVA,59858
Kurumx,Kurumx,32909
zrush,zrush,53270
therapy_dragon,therapy_dragon,10592
CohhCarnage,CohhCarnage,205964
loud_voltan,loud_voltan,18418
Reetlol,Reetlol,42031
HOLLYWOOD285,HOLLYWOOD285,26919
drututt,drututt,37484
ESL_csgo_es,ESL_csgo_es,6399
Wardiii,Wardiii,20886
GronkhTV,GronkhTV,57114
LIRIK,LIRIK,249770
PapiGaviTV,PapiGaviTV,11974
Robbaz,Robbaz,11512
yvonnie,yvonnie,76501
RTGame,RTGame,39238
Th3Antonio,Th3Antonio,100058
kitohhhh,kitohhhh,14674
Flambass,Flambass,16449
Raptor,Raptor,30204
ClassyBeef,ClassyBeef,52203
scumtk,scumtk,12475
Bluddshed,Bluddshed,4579
KendineMuzisyen,KendineMuzisyen,139942
KAANFLIX,KAANFLIX,50334
jukes,jukes,136426
PotasticP,PotasticP,19072
t1_keria,t1_keria,14106
rdo1337,rdo1337,10412
Gorgc,Gorgc,123255
FoxenKin,FoxenKin,47815
fuzzface49,fuzzface49,12052
TheRealKnossi,TheRealKnossi,75006
Sanchovies,Sanchovies,75032
SnaggyMo,SnaggyMo,41738
Werlyb,Werlyb,147476
chocoTaco,chocoTaco,57850
boyMinORu,boyMinORu,34239
Subroza,Subroza,55297
Fierik,Fierik,35639
skippypoppin,skippypoppin,19242
TROPS4,TROPS4,9827
orslok,orslok,45703
kennyS,kennyS,33855
buckefps,buckefps,69392
stormen,stormen,61665
skill4ltu,skill4ltu,24518
ZerosPoker,ZerosPoker,13808
Smurf_tv,Smurf_tv,13953
Criticas_QLS,Criticas_QLS,37679
ddahyoni,ddahyoni,59866
MAAU,MAAU,34035
LukiSteve,LukiSteve,1339
SgtGrafoyni,SgtGrafoyni,5594
ibabyrainbow,ibabyrainbow,35672
ch1ckenkun,ch1ckenkun,23088
Diegosaurs,Diegosaurs,43382
CreativeMonkeyz,CreativeMonkeyz,12028
Nix,Nix,35994
Multiplayerit,Multiplayerit,5633
VALORANT,VALORANT,174198
nl_Kripp,nl_Kripp,125116
RedRoses11111,RedRoses11111,15340
CalebDMTG,CalebDMTG,15774
valorant_jpn,valorant_jpn,38397
Incon,Incon,21936
Popo,Popo,52126
Lethalfrag,Lethalfrag,11988
fuji720x,fuji720x,8909
TinaKitten,TinaKitten,39501
IlloJuan,IlloJuan,191195
Squeezie,Squeezie,80537
MathoX,MathoX,21720
qlnek,qlnek,20361
PENTA,PENTA,120929
Mushway,Mushway,46590
chefstrobel,chefstrobel,50548
Muitohumildee,Muitohumildee,17603
Vlesk,Vlesk,31224
moistcr1tikal,moistcr1tikal,290185
BNPLAYER,BNPLAYER,3432
AvoidingThePuddle,AvoidingThePuddle,30168
Mmorpg,Mmorpg,20269
Harry,Harry,17987
actingliketommy,actingliketommy,87619
Rumathra,Rumathra,45158
Cesarvsc,Cesarvsc,10273
JLBichouu,JLBichouu,116868
Cerbero_Podcast,Cerbero_Podcast,26953
Miniduke,Miniduke,34192
Silky,Silky,45504
Selly55,Selly55,28292
Warframe,Warframe,21315
therealmikedean,therealmikedean,47
bananabrea,bananabrea,38490
Tfue,Tfue,456855
PapoMC,PapoMC,115153
dota2mc_ru,dota2mc_ru,298606
elxokas,elxokas,114428
MrLlamaSC,MrLlamaSC,12774
TommyPervan,TommyPervan,17966
Parrins,Parrins,13182
AnthonyZ,AnthonyZ,103788
purple_hs,purple_hs,18932
JEFFAOCS,JEFFAOCS,21112
ajehr,ajehr,30522
Homyatol,Homyatol,55130
qSnake,qSnake,22244
Im_Dontai,Im_Dontai,82180
makataO,makataO,18522
laty1337,laty1337,10002
Albii_prz,Albii_prz,49812
CeMka,CeMka,13113
robert87000,robert87000,23188
streamsbyTempl,streamsbyTempl,997
Lobanjicaa,Lobanjicaa,46020
BadBoyHalo,BadBoyHalo,156201
JeffHoogland,JeffHoogland,8284
a_babybay,a_babybay,41109
MANvsGAME,MANvsGAME,13878
Tangent,Tangent,3984
UnRationaL,UnRationaL,29687
SixenTv,SixenTv,29506
Yuggie_TV,Yuggie_TV,14521
teuzinfps,teuzinfps,6117
EnriqueRamosGamer,EnriqueRamosGamer,19305
bighead033,bighead033,11372
RiotGamesRU,RiotGamesRU,22319
ESAMarathon,ESAMarathon,28003
slwalekoP,slwalekoP,10456
BattlestateGames,BattlestateGames,11086
Mandzio,Mandzio,84408
blxckoutz,blxckoutz,103590
Shaunz,Shaunz,54479
DieHahn,DieHahn,31045
Co1azo,Co1azo,65033
Morphains,Morphains,24282
Mulder,Mulder,8342
JonBams,JonBams,11554
ovotz,ovotz,25946
ElmiilloR,ElmiilloR,170419
AdcShiiro,AdcShiiro,28865
VGBootCamp,VGBootCamp,36093
1DrakoNz,1DrakoNz,33228
willneff,willneff,42489
MrSavage,MrSavage,70079
allkeyshop_tv,allkeyshop_tv,2194
Lightee7,Lightee7,8626
tropa_lucca,tropa_lucca,20735
LEGOO,LEGOO,110523
QuackityToo,QuackityToo,111366
CuteDog_,CuteDog_,48190
Sykkuno,Sykkuno,440571
NoHandsGamer,NoHandsGamer,13991
polsatgames2,polsatgames2,7495
VooDooSh,VooDooSh,50255
AustinShow,AustinShow,1982
ESKc,ESKc,13642
MSStudio,MSStudio,8116
Hayashii,Hayashii,43588
JOliveira10,JOliveira10,11830
KuchenTV,KuchenTV,36273
viperdemon,viperdemon,22427
Nightblue3,Nightblue3,92281
franchiseglobalart,franchiseglobalart,11869
LucasHR,LucasHR,3789
SoloRenektonOnly,SoloRenektonOnly,28873
Vargskelethor,Vargskelethor,35030
ESL_Australia,ESL_Australia,5184
SypherPK,SypherPK,123665
TheRealzBlueWater,TheRealzBlueWater,10757
HellianTV,HellianTV,19929
Kate,Kate,10448
Diabeuu6,Diabeuu6,21418
VELLOSO,VELLOSO,20065
99Damage,99Damage,12063
TobiasWhell,TobiasWhell,33
Natarsha,Natarsha,47227
Kertus,Kertus,8054
Bonjwa,Bonjwa,42773
animal_n01,animal_n01,9005
GrandVice8,GrandVice8,20354
xPandorya,xPandorya,17795
imDBRAZ,imDBRAZ,10586
robergalati,robergalati,33715
GMHikaru,GMHikaru,170687
Pestily,Pestily,119404
Bawkbasoup,Bawkbasoup,45429
awesamdude,awesamdude,67455
Rezo,Rezo,33238
Jayce,Jayce,15415
rkdthdus930,rkdthdus930,30452
PirataCross,PirataCross,9032
ReallyReallyLongAThon,ReallyReallyLongAThon,1250
GTimeTV,GTimeTV,51193
Perxitaa,Perxitaa,172712
Xposed,Xposed,80432
Emongg,Emongg,38365
btssmash,btssmash,42960
FlexZ,FlexZ,38446
TheRealMarzaa,TheRealMarzaa,44880
keife_,keife_,39949
archangel_hs,archangel_hs,24376
Trainwreckstv,Trainwreckstv,327976
Mithrain,Mithrain,57567
Zapman,Zapman,25125
SnikWins,SnikWins,12961
crazzyccat,crazzyccat,30692
Kaellyn,Kaellyn,70147
SolaryHS,SolaryHS,35997
ops1x,ops1x,127909
BrookeAB,BrookeAB,37160
Maya,Maya,48049
Joueur_du_Grenier,Joueur_du_Grenier,103806
SayeedBlack,SayeedBlack,19530
Voyboy,Voyboy,39831
fraNkey136,fraNkey136,25242
aXoZer,aXoZer,68148
PokemonChallenges,PokemonChallenges,26627
