Streamer,Unique Viewers,Community ID
xTheSolutionTV,"59,430",169
Dmitry_Lixxx,"59,389",13
ChristianVieriOfficial,"59,047",155
quackitytoo,"58,961",4
Shaunz,"58,636",53
Joueur_du_Grenier,"58,555",53
AussieAntics,"58,550",0
Tectone,"57,947",29
DeuceAce,"57,874",169
jdm2088,"57,424",15
noahreyli,"57,141",0
ricoy23,"57,131",32
Grossie_Gore,"57,091",10
Loeya,"57,060",0
2chamcham2,"56,926",15
Daxak,"56,703",13
JrokezFTW,"56,630",143
Ramee,"56,462",11
SummonersInnLive,"56,173",169
AriaSaki,"55,924",29
Co1azo,"55,546",0
sleepy,"55,385",9
MrSavage,"54,849",0
liminhag0d,"54,791",1
sips_,"54,635",11
melharucos,"54,633",13
Loserfruit,"54,532",0
cyr,"54,291",11
DuendePablo,"54,198",32
MiltonTPike1,"54,142",11
NiceWigg,"53,932",9
Eret,"53,793",4
Solary,"53,639",53
karavay46,"53,360",13
masondota2,"53,191",13
esl_csgo_pl,"53,184",13
SmiteGame,"53,177",11
woowakgood,"53,153",15
NymN,"53,050",11
okyyy,"53,032",32
RatedEpicz,"53,025",11
limit_maximum,"52,992",11
bt0tv,"52,985",1
RduLIVE,"52,796",10
Masayoshi,"52,747",29
nokduro,"52,406",15
Unboxholics,"52,144",169
jacksepticeye,"52,014",29
supertf,"51,880",9
tarzaned,"51,712",10
boltz,"51,629",1
maiconkusterkay,"51,565",1
modestal,"51,391",13
Mixwell,"51,202",9
yd0821,"51,152",15
Kyle,"51,053",11
hoshizora7,"51,053",8
Alderiate,"51,012",53
watchcartoonnetwork4free,"50,905",4
Japczan,"50,834",10
VALORANT_BR,"50,833",1
JohnnyBoi_i,"50,692",53
Vinesauce,"50,687",11
TEBtv,"50,605",13
daltoosh,"50,587",9
Vlesk,"50,432",169
Elajjaz,"50,250",11
C_a_k_e,"50,235",13
Reborn_Live,"50,235",32
DarioMocciaTwitch,"50,199",155
Jacob4TV,"50,027",13
dunkstream,"49,907",11
SidneyEweka,"49,735",169
kinstaar,"49,544",53
TheLivia,"49,444",1
just_ns,"49,428",13
pacific8815,"49,351",15
PCH3LK1N,"49,343",13
Toqtir,"49,324",143
JesusAVGN,"48,983",13
XBOCT,"48,953",13
xth0rek,"48,631",13
aimdll__,"48,492",143
lol_ambition,"48,329",15
Mathil1,"48,076",11
lolpacifictw,"48,050",132
PUBGKorea,"47,709",15
NeVeR_LosEs,"47,706",132
singsing,"47,604",13
CDNThe3rd,"47,503",11
x6FlipiN,"47,351",32
SwaggerSouls,"47,333",4
Doigby,"47,163",53
PurpleBixi,"47,068",143
Aa9skillz,"46,954",138
UberHaxorNova,"46,933",11
maxim,"46,867",169
berkriptepe,"46,733",143
Nintendo,"46,651",11
jovirone,"46,547",1
BaboAbe,"46,547",29
mokouliszt1,"46,440",156
Jinnytty,"46,296",11
yapyap30,"46,072",15
NAKOO_Fn,"45,864",32
pijack11,"45,817",1
Xposed,"45,732",169
kimdoe,"45,576",15
sal_gu,"45,480",15
Pikabooirl,"45,369",11
PUVLOO,"45,179",32
dizzy,"44,906",9
PENTA,"44,797",11
Northernlion,"44,591",107
VooDooSh,"44,412",13
RiotGamesTurkish,"44,371",143
BarcaGamer,"44,284",32
Rakin,"44,135",1
iiTzTimmy,"43,934",9
ESAMarathon,"43,758",11
SovietWomble,"43,746",11
adolfz,"43,450",1
Agraelus,"43,131",105
sam1268,"43,078",132
AlphaCast,"43,015",53
ESL_CSGOc,"42,902",13
sweetdreams,"42,766",9
IWillDominate,"42,751",10
ilMasseo,"42,546",155
rooftopcat99,"42,390",15
Bidule,"42,384",53
tvandeR,"42,351",32
Tonton,"42,054",53
LosPollosTV,"41,924",0
RobertoCein,"41,872",32
pjs9073,"41,863",15
starsmitten,"41,715",29
Xiuder_,"41,688",155
polsatgames,"41,671",10
RebeuDeter,"41,521",53
TwitchRivals,"41,474",10
russfpsz,"41,001",143
tuanzy,"40,983",29
dakotaz,"40,941",29
Alliege,"40,836",32
NateHill,"40,821",0
Chica,"40,762",0
Thebausffs,"40,438",10
melina,"40,291",11
SackziTV,"40,289",53
Diables,"40,248",13
zironicdk,"40,240",27
KristoferYee,"40,237",29
GMNaroditsky,"40,236",107
Sanchovies,"40,035",10
bysTaXx,"39,817",32
YOLOAVENTURAS,"39,761",200
cdewx,"39,623",11
StRoGo,"39,492",13
lol_nemesis,"39,491",10
yvonnie,"39,480",29
BobRoss,"39,467",4
RocketBaguette,"39,396",53
Warcraft,"39,210",11
GD_booya,"39,133",0
Purpled,"38,847",4
gaulestv,"38,797",1
godjj,"38,719",132
thedanirep,"38,635",32
mobilmobil,"38,610",132
Forky,"38,402",53
landonorris,"38,263",13
Saiiren,"38,158",11
Albralelie,"37,986",9
willneff,"37,966",11
momoladinastia,"37,754",32
blusewilly_retry,"37,695",132
Shotz,"37,501",11
uhSnow,"37,498",11
FCF,"37,456",0
pizfn,"37,409",155
Arcadum,"37,247",11
agurin,"37,229",169
DaigoTheBeasTV,"37,109",156
butterflyouo,"37,002",132
Silky,"36,982",0
KYR_SP33DY,"36,975",0
zEkO,"36,895",32
AgenteMaxo,"36,801",32
ironmouse,"36,622",30
flurry1989,"36,604",15
yumyumyu77,"36,475",15
ddahyoni,"36,399",15
runthefutmarket,"36,349",138
ShubbleYT,"36,347",4
Gladd,"36,294",9
Nadeshot,"36,103",9
zrush,"35,962",132
Bwipolol,"35,919",10
CapcomFighters,"35,725",11
VERNI_SHAVERMY,"35,671",13
01bd02,"35,657",15
Marzz_Ow,"35,634",0
Milan926_,"35,443",32
velox,"35,353",155
RRaenee,"35,233",143
Vadeal,"35,126",0
pokanoname,"35,101",13
esAcarry,"35,018",1
DiazBiffle,"34,950",0
raderaderader,"34,768",156
uzra,"34,641",132
AhriNyan,"34,363",13
ChilledChaos,"34,351",29
Steelmage,"34,258",11
BruceDropEmOff,"33,982",0
iskall85,"33,940",4
swab85,"33,842",15
realMoji,"33,826",169
JeelTV,"33,793",53
Whippy,"33,767",11
Adapt,"33,763",0
Zizaran,"33,621",11
Anomaly,"33,597",13
DavidDobrik,"33,502",0
chessbrah,"33,364",107
GR63,"33,320",13
JessGOAT,"33,229",27
VonDice,"33,215",169
ThisIsNotGeorgeNotFound,"33,141",4
FarfadoxVEVO,"33,139",32
GamesDoneQuick,"33,040",11
BigEx,"32,859",0
VALORANT_Esports_EU,"32,612",9
BlitzStream,"32,569",53
TrashTastePodcast,"32,504",107
HoneyMad,"32,498",13
gamergirl,"32,472",10
DarkViperAU,"32,396",11
Destiny,"32,309",11
ernesBarbeQ,"32,267",32
Sacriel,"32,152",11
ANGRYPUG,"32,146",31
T90Official,"32,078",107
ekatze007,"32,013",13
PimpCSGO,"32,004",13
Tuli_acosta,"31,912",32
Reetlol,"31,893",0
jccaylen,"31,772",5
Th3Antonio,"31,745",32
et_1231,"31,732",132
Eray,"31,325",143
Tixinhadois,"31,204",1
Smoke,"31,135",11
JulienBam,"31,049",169
Lasqa,"30,990",13
nyanners,"30,909",30
Pauleta_Youtubeur,"30,820",53
chigre,"30,791",32
primeleague,"30,430",169
Popo,"30,170",10
Pink_Sparkles,"29,811",11
mch_AGG,"29,751",1
SNEUX,"29,679",32
Diegosaurs,"29,628",9
portialyn,"29,606",15
luckraok,"29,580",32
nerdstgamers2,"29,556",9
skeppylive,"29,513",4
DylanteroLIVE,"29,508",32
CH14,"29,475",32
QTCinderella,"29,362",107
KiXSTAR,"29,283",27
aXoZer,"29,282",32
GENSYXA,"29,135",13
boyMinORu,"29,130",235
MmarianaAlpha,"29,062",1
valorant_jpn,"29,018",156
dmf_kyochan,"29,010",156
AnniTheDuck,"28,968",169
GTAWiseGuy,"28,797",11
ChutyVks,"28,774",32
akaNemsko,"28,719",107
RybsonLoL_,"28,686",10
harbleu,"28,666",9
LLA,"28,657",32
pulgaboy,"28,654",1
Staiy,"28,653",169
roger9527,"28,543",132
SLAKUN10,"28,516",32
PapiGaviTV,"28,430",32
Teuf,"28,422",53
Move_Mind,"28,332",13
chesscomfr,"28,246",53
Ditrxx,"28,176",169
BastiGHG,"28,120",169
VarsityGaming,"28,021",27
Caprimint,"27,964",32
TheViper,"27,731",107
AsmodaiTV,"27,684",10
numeiro_,"27,655",13
smqcked,"27,633",0
CallMeKevin,"27,489",107
punzlmao,"27,390",4
topdog_ru,"27,351",13
iinwafqht,"27,267",137
jungtaejune,"27,247",15
dasoku_aniki,"27,197",156
Jirayalecochon,"27,166",53
EnzoKnol,"27,152",292
OkCode,"27,098",29
MiaPlaysss,"27,046",47
Annoying,"27,007",0
Burn,"26,942",11
IzakOOO,"26,923",13
CzechCloud,"26,901",105
ImKaiCenat,"26,842",0
sonycast_,"26,709",15
eaJParkOfficial,"26,663",29
TapL,"26,569",4
valorant_esports_tr,"26,480",143
wkgml,"26,379",15
qq7925168,"26,291",132
Mangel,"26,231",32
ziGueira,"26,052",1
109ace,"25,945",15
Voyboy,"25,904",10
WeAreTheVR,"25,778",208
Naguura,"25,767",11
RiotGamesJP,"25,562",156
Mylonzete,"25,550",1
TrueGeordie,"25,425",138
MAAU,"25,356",32
rezonfn,"25,273",0
TrilluXe,"25,269",169
AlpTV,"25,237",143
BarbarousKing,"25,217",28
Opat04,"25,134",105
CarlosDLeon,"25,063",32
steel_tv,"25,045",9
itsRyanHiga,"24,965",29
calango,"24,864",1
Slushpuppy,"24,842",8
HarryHesketh,"24,746",138
obm1025,"24,719",15
Nexe_,"24,674",13
twlevewinsHS,"24,661",10
jinu6734,"24,582",15
grenbaud,"24,502",155
rhobalas_lol,"24,411",53
Hirona,"24,325",11
nanayango3o,"24,315",15
DavyJones,"24,246",1
twitchgaming,"24,222",9
The_Happy_Hob,"24,213",11
aminematue,"24,192",53
skswhdkgo1,"24,178",15
eldemente,"24,159",32
AvoidingThePuddle,"23,870",11
DreadzTV,"23,791",13
Sixquatre,"23,747",27
mokrivskyi,"23,729",13
amustycow,"23,694",53
dda_ju,"23,634",15
NikitonipongoTV,"23,557",32
bbonge_,"23,510",15
Serenexo,"23,489",32
ZONY,"23,402",13
Lagonis,"23,267",27
rtparenacsgo,"23,245",13
Wismichu,"23,202",32
runner0608,"23,075",15
natalan,"22,975",32
Felps,"22,949",1
BurkeBlack,"22,843",11
Chigua,"22,641",32
Ahmed_show,"22,635",138
OverpoweredOW,"22,627",8
BikiniBodhi,"22,429",27
Lannik1,"22,384",1
QUICKHUNTIK,"22,287",13
LexVeldhuis,"22,257",107
Agustabell212,"22,165",32
TaySon,"22,119",0
OGADotaPIT,"22,096",13
Timmac,"22,067",11
wtf_winds123,"22,067",132
DuckyW,"22,050",8
pankylol,"22,019",143
stevewillsendit,"22,000",169
TEBtvRU,"21,891",13
Solaaaa,"21,804",169
bratishkinoff,"21,793",13
Cerbero_Podcast,"21,785",155
ErenAktan,"21,728",143
ONSCREEN,"21,701",9
CashApp,"21,692",11
xkwhd,"21,603",15
ajehr,"21,590",15
LiminhaPlay,"21,541",1
KayzahR,"21,464",169
Snip3down,"21,442",9
GUANYAR,"21,414",32
chefstrobel,"21,396",169
shuteye_orange,"21,295",132
Crunchyroll,"21,258",11
WillerZ,"21,233",11
95pingman,"21,198",15
EAMaddenNFL,"21,146",233
Socksfor1,"21,075",4
chocoTaco,"21,026",9
TheRealMarzaa,"21,013",155
MercR6,"20,996",27
Terracid,"20,940",53
nooneboss,"20,934",13
OhTofu,"20,807",31
RTGameCrowd,"20,776",107
Bonjwa,"20,745",169
skippypoppin,"20,697",11
Kiyoon,"20,693",10
playapex,"20,673",9
Grimmmz,"20,633",11
robergalati,"20,620",32
wavyjacob,"20,597",0
Hayashii,"20,593",1
GronkhTV,"20,512",169
PrimeLeague,"20,485",169
zackrawrr,"20,452",11
RollingLoud,"20,370",0
Shurjoka,"20,209",169
RocKy_,"20,167",53
TwoSync,"20,134",138
Tommey,"20,060",0
AverageJonas,"20,036",9
Zerkaa,"20,025",138
orangemorange,"19,925",169
Mushway,"19,690",53
Momo,"19,648",11
yointerneto,"19,608",32
elwycco,"19,304",13
mitr0,"19,250",0
Zade,"19,237",143
GMHess,"19,234",107
BananaSlamJamma,"19,201",13
Academy,"19,138",10
yayahuz,"19,130",1
AdrianFartade,"19,070",155
RatoBorrachudo,"19,038",1
Sick_Nerd,"19,031",11
just9n,"19,013",9
TheNicoleT,"18,990",11
alinaarose,"18,761",0
SnikWins,"18,597",169
GodHunt,"18,528",13
Cydonia_Chiara,"18,513",155
AyarBaffo,"18,489",155
MrSoki,"18,388",32
bbbb87,"18,381",132
vsmzin,"18,311",1
CSRuHub,"18,279",13
hmattTV,"18,268",155
dota2mc_ru2,"18,257",13
LuckyChamu,"18,250",0
OgamingSC2,"18,188",53
rkdwl12,"18,049",15
BlackUFA,"18,024",25
Tomato,"18,007",11
iltw1,"17,979",13
JojoHF,"17,876",13
Repullze,"17,873",0
ZeROBADASS,"17,833",1
Heelmike,"17,793",0
Rezo,"17,781",169
deathwingua,"17,706",8
Kaellyn,"17,706",11
Nick28T,"17,696",138
ZLOYn,"17,673",13
kimdduddi,"17,667",15
santidead,"17,624",32
Sjow,"17,494",10
Hungrybox,"17,423",11
ZakvielChannel,"17,404",13
sweetcampercs,"17,394",132
sooflower,"17,370",15
Atrioc,"17,290",107
Ssaab,"17,226",11
ofmanny,"17,204",138
Distortion2,"17,123",11
michou_twitch,"17,096",53
Nokokopuffs,"17,089",9
FORMAL,"17,064",0
Surskity,"17,043",1
keanelol,"16,984",10
pikra10,"16,876",15
RDCgaming,"16,864",0
Surefour,"16,775",11
Silithur,"16,767",32
Mendo,"16,745",9
avoplus,"16,739",13
Rillo,"16,730",0
LaIslaDeLasTentaciones,"16,716",32
sutanmi,"16,692",156
thecaiox,"16,629",1
LVPes2,"16,585",9
Dexbonus,"16,571",11
NimbleNeuron,"16,568",15
Zeeyadx,"16,563",137
PG_Esports,"16,562",10
tropa_lucca,"16,481",1
Crocodyle_lol,"16,454",53
BobbyPoffGaming,"16,426",0
Gragolandia1,"16,413",1
TwitchKR,"16,384",15
lucasteles2,"16,283",1
Porgiee,"16,205",8
GarrettG,"16,205",53
Deadlyslob,"16,108",11
WorldofWarships,"16,108",189
Rumathra,"16,097",169
torona1,"16,062",15
sn400ja,"16,058",15
PUBG_Taiwan,"16,008",132
Insomniac,"15,985",103
msmsms213,"15,931",15
cidcidoso,"15,877",1
cristianghost,"15,876",32
julien,"15,868",153
heybigmike,"15,821",0
pelaajatcom,"15,816",13
Aurateur,"15,814",28
xoAeriel,"15,813",109
sunbaking,"15,793",225
gravesen_1,"15,716",32
TheLateNightSlots,"15,685",169
HugoDecrypte,"15,673",53
loopooyt,"15,595",53
eskay,"15,557",8
Tiagovski555YT,"15,510",13
Calebhart42,"15,494",11
guanweiboy,"15,482",132
TheBigMeech,"15,427",11
MoAuba,"15,307",169
RebirthzTV,"15,303",235
MateoZ,"15,272",32
Destroy,"15,239",0
lol_cuvee,"15,215",15
RiotGamesRU,"15,209",10
Blaustoise,"15,148",11
G4G_REVENANT,"15,126",32
Sintica,"15,099",169
Xlice,"15,096",29
EnriqueRamosGamer,"15,047",32
kianlawley,"14,972",5
Dota2RuHub,"14,969",13
EdenEsports,"14,953",13
Slimecicle,"14,947",4
AdrianaChechik_,"14,943",104
LaraLoft,"14,927",169
Kiwo,"14,896",11
LittleBigWhale,"14,886",53
chess24,"14,881",107
CollegeCarball,"14,767",53
Pato,"14,709",32
demisux,"14,697",32
GN_GG,"14,690",13
SquishyMuffinz,"14,678",53
imjasmine,"14,670",11
superjj102,"14,662",10
tinowns,"14,616",1
HITBOXKING,"14,608",9
AnnaCramling,"14,593",107
CaptainSparklez,"14,569",4
BudLight,"14,369",10
Crayator,"14,245",0
Closer,"14,205",143
LPMassive,"14,202",169
Duke,"14,141",0
AndyMilonakis,"14,133",11
zwebackhd,"14,120",138
takesipon,"14,043",132
snoodyboo,"13,977",32
MLS,"13,964",138
illumina1337,"13,962",4
camsoda,"13,923",8
pashaBiceps,"13,873",13
1PVCS,"13,826",53
keiozin,"13,752",1
oniyadayo,"13,739",156
DrIgo,"13,712",32
PlayOverwatch,"13,672",11
karchez,"13,667",32
segall,"13,566",13
katoo,"13,533",169
LanuSky,"13,525",4
Anton,"13,520",11
NarcolepticNugget,"13,514",27
xHankyy,"13,488",169
snuffy,"13,486",30
Anas_Off,"13,475",53
Sydeon,"13,437",29
ClassyBeef,"13,423",169
Pengwin,"13,393",11
Replays,"13,393",0
failverde,"13,352",132
Adal,"13,337",143
notmes,"13,333",11
naseongkim,"13,302",15
resttpowered,"13,285",105
GradyWhite_,"13,262",32
Harstem,"13,253",10
xargon0731,"13,239",132
Antfrost,"13,172",4
rootthegamer,"13,158",143
kimnamsoon,"13,154",15
armutlol,"13,067",143
MrRapolas,"13,034",126
Carreraaa,"12,929",32
lck_challengers,"12,926",10
RTAinJapan,"12,900",156
DuelLinksMeta,"12,853",42
Yotobi,"12,804",155
gearbaby1010,"12,797",132
PSG,"12,787",53
Lobanjicaa,"12,722",13
Bronx,"12,696",31
JeremyFrieser,"12,610",292
ConnorEatsPants,"12,600",4
evaanna,"12,473",102
miamalkova,"12,472",138
FabulousN,"12,463",143
JLAmaru,"12,394",53
yuniko0720,"12,353",132
drb7h,"12,330",135
MiiKeLMsT,"12,291",32
Frankkaster,"12,280",32
WCBC_RL,"12,271",53
ubeka_,"12,244",143
keife_,"12,171",0
robertpg,"12,108",32
SilentSentry,"12,103",11
rkdthdus930,"12,063",15
ookina,"12,062",1
YasserM55,"12,058",137
TheRocketRB,"12,001",53
RazaH,"11,997",27
gutitubo,"11,935",156
PWRDEsports1,"11,901",13
kinstaar92i,"11,845",53
Shlorox,"11,825",169
kyedae_,"11,772",9
OldSchoolRS,"11,760",129
duckmanzch,"11,716",235
NiteNightKid,"11,673",11
Nikof,"11,652",53
TaliaMar,"11,570",138
CyberRulzTv,"11,566",143
sashagrey,"11,561",11
AcezProduction,"11,543",27
JustCooman,"11,461",13
